4L Word,4L_FLAG,5L word,5L_FLAG,6L word,6L_FLAG
Able,N,Actor,N,Abroad,N
Anti,N,Adult,N,Absorb,N
Area,N,Alarm,N,Accept,N
Army,N,Album,N,Access,N
Away,N,Alive,N,Accuse,N
Baby,N,Allow,N,Across,N
Back,N,Alone,N,Action,N
Ball,N,Along,N,Active,N
Band,N,Anger,N,Actual,N
Bang,N,Angry,N,Adjust,N
Bank,N,Apart,N,Admire,N
Bare,N,Apple,N,Advice,N
Base,N,Audio,N,Affair,N
Bass,N,Avoid,N,Affect,N
Bear,N,Award,N,Afford,N
Beat,N,Basic,N,Afraid,N
Bill,N,Beach,N,Agency,N
Blow,N,Bench,N,Agenda,N
Blue,N,Birth,N,Almost,N
Body,N,Black,N,Always,N
Bold,N,Blind,N,Amount,N
Book,N,Blood,N,Animal,N
Both,N,Booth,N,Annual,N
Burn,N,Brain,N,Answer,N
Busy,N,Bread,N,Anyone,N
Call,N,Break,N,Anyway,N
Calm,N,Chain,N,Appeal,N
Card,N,Chair,N,Appear,N
Care,N,Child,N,Around,N
Case,N,China,N,Arrest,N
Cash,N,Class,N,Arrive,N
Cast,N,Clean,N,Artist,N
City,N,Click,N,Asleep,N
Club,N,Clock,N,Aspect,N
Cold,N,Close,N,Assert,N
Come,N,Count,N,Assess,N
Cook,N,Cover,N,Assign,N
Cool,N,Craft,N,Assist,N
Cope,N,Crash,N,Assume,N
Cost,N,Cream,N,Assure,N
Damn,N,Crime,N,Attach,N
Damp,N,Cross,N,Attack,N
Dare,N,Crowd,N,Attend,N
Dark,N,Crown,N,Author,N
Darn,N,Cycle,N,Barely,N
Date,N,Daily,N,Barrel,N
Dead,N,Dance,N,Basket,N
Deaf,N,Death,N,Battle,N
Deal,N,Drama,N,Beauty,N
Dear,N,Dream,N,Become,N
Deep,N,Dress,N,Before,N
Deny,N,Drink,N,Behind,N
Door,N,Drive,N,Belief,N
Down,N,Early,N,Belong,N
Draw,N,Earth,N,Beside,N
Drop,N,Eight,N,Better,N
Dull,N,Empty,N,Beyond,N
Dumb,N,Enemy,N,Border,N
Duty,N,Enjoy,N,Borrow,N
Earn,N,Enter,N,Bother,N
East,N,Entry,N,Bottle,N
Easy,N,Equal,N,Bottom,N
Edge,N,Error,N,Branch,N
Else,N,Event,N,Breast,N
Else,N,Faith,N,Breath,N
Even,N,Fight,N,Bridge,N
